"Serial #","Child Serial #"
"JC1171","NONE.GIVEN."
"JC1171","RO5366"
"JC1617","82184"
"JC1617","82368"
"JC1617","82371"
"JC1617","82372"
"JC1754D","E97590"
"JC1779A","J29002"
"JC1779B","F57926"
"JC1799","47096"
"JC1799","47268"
"JC1799","47285"
"JC1799","52696"
"JC1799","97229193"
"JC1800","47476"
"JC1800","52895"
"JC1800","52910"
"JC1800","53216"
"JC1800","97229191"
"JC1815","52146"
"JC1815","52183"
"JC1815","52206"
"JC1815","53673"
"JC1918-4521","R11489"
"NONE GIVEN","493817"
"T0036095","T0035622"
"3624","18958"
"3625","25196"
"4773","97229192"
"4776","9603255"
"4777","97229191."
"4779","9652243."
"018893M","V10889M"
"018908M","V10861M"
"018908M","V10872M"
"018894M","T99003M"
"018894M","T98989M"
"018967M","JC2120(1)"
"018967M","1467"
"018543M","JC2120(2)"
"018543M","1485"
"2439","H95803"
"4331","J01840"
"4334","J01853"
"4337","J01839"
"4336","H95803."
"4546","127"
"4721","T59996"
"4721","56202177"
"5716","44940"
"5716","41841"
"5716","41825"
"5716","28867"
"4055.","PF110"
"4055.","809148"
"2788..","PF-"
"2788..","H888C15"
"6005","JC2184"
"6005","096596"
"5855","012093"
"5856","012087"
"6075","PF.."
"6075","W52085"
"6072","JC2215"
"6072","C41627"
"6055","00193790"
"6055","00193786"
"6055","00051247"
"6055","00051242"
"6055","JC2216"
"6054","167415"
"6054","JC2215."
"6066","200184"
"6066","JC2204"
"6061","JC2205"
"6061","170940"
"019064M","05042"
"019064M","1506B"
"019064M","JC2207"
"019064M","83974"
"019064M","82377"
"019064M","83965"
"019064M","82267"
"019075M","05028"
"019075M","1521B"
"019075M","JC2207(1)"
"019075M","83967"
"019075M","82363"
"019075M","82286"
"019075M","82335"
"018626M","82278"
"018626M","82356"
"018626M","82287"
"018626M","83970"
"6088","85654"
"6088","86323"
"6088","86294"
"6088","86293"
"019068","T82679"
"019068","1501B"
"018830","05045"
"1720.","000"
"018626M","004076"
"018743","04493"
"8198/1","AZ50063968"
"6158","76798"
"6158","76095"
"6158","76814"
"6158","76710"
"1717","0164241"
"1717","0164242"
"1717","0164243"
"1717","0164244"
"59603","45644"
"59603","299599"
"6252","0000000"
"6252","JC2211"
"004094"," NONE"
"11405","000000000000000"
"12672.","37302."
"12672.","37334."
"12672.","38800."
"12672.","36974."
"12672.","IQ8X008765."
"11405.","896885."
"11405.","00.00.00"
"CLCY039040","1718"
"5140","47695"
"6291","56396586"
"6291","25177"
"6389","JC2308(1)"
"6390","JC2308"
"019106M","05207"
"019106M","1608B"
"019135M","05365"
"019135M","05367"
"019135M","1642B"
"019135M","72739"
"019135M","92931"
"019135M","73280"
"019135M","91184"
"019106M","94701"
"019106M","94700"
"019106M","94657"
"019106M","94682"
"019106M","JC2303(3)"
"019136","5372"
"019136","5370"
"019136","1637B"
"019150","94657."
"019150","94701."
"019150","94700."
"019150","94682."
"6379","56346166"
"6379","00000000000000"
"012364M","05336"
"019113","56346116"
"018960M","04489"
"6659","JC6659"
"6626","JC2370"
"13601934","04057 X 4"
"6683","7061307"
"019118M","1650B"
"017181","E97597"
"019118M","05510"
"4776","C4T-110-016320"
"4773","C4T-110-016322"
"4777","C4T-110-016323"
"3860","C4T-110-016321"
"3859","C4T-202-019564"
"3540","C4T-110-016291"
"017720","OEQ7157328"
"017181","1YTY026843"
"017181","K59367"
"017181","H68663"
"017181","J20844"
"017181","K58317"
"3859","……………."
"6939","JC2458"
"NA.","10474940"
